id,name,brand,tagline,price,priceNumeric,category,gender,notes,image,bestseller,newArrival,inStock,size,concentration
11901,ACQUA DI GIÒ EAU DE PARFUM Giorgio Armani,Giorgio Armani,"ACQUA DI GIÒ EAU DE PARFUM Giorgio Armani Fresh Cologne, Long-Lasting Men’s","₦190,000",190000,perfume,men,"blend with natural green mandarin, sage, vetiver, and patchouli. The infinite horizon of the sea is captured in an innov",https://folafragrance.com.ng/wp-content/uploads/2025/11/IMG_5827-291x291.jpeg,true,false,true,,Eau de Parfum
12205,AFNAN 9AM POUR FEMME 100ML FOR WOMEN,Afnan Perfumes,AFNAN 9AM POUR FEMME 100ML FOR WOMEN Indulge in the captivating and spicy scent,"₦58,000",58000,perfume,unisex,"of mandarin and cardamom, which are then transformed into an alluring fruity fragrance with the addition of orange bloss",https://folafragrance.com.ng/wp-content/uploads/2026/02/img_1619-291x291.jpeg,true,false,true,100ML,
12640,AFNAN PERFUMES 9 PM NIGHT OUT,,"is a statement of confidence, created for nights that leave a lasting","₦68,000",68000,perfume,men,"Dragon Fruit, Bergamot, Cognac, Lavender, Apple Middle Notes: Cardamom, Mahonial, Suede, Toffee, Cedar Base Notes: Tonka",https://folafragrance.com.ng/wp-content/uploads/2026/07/img_1175-1-291x291.png,true,false,true,,
11940,ARMANI CODE EAU DE PARFUM,"Emperor Armani, Giorgio Armani",ARMANI CODE EAU DE PARFUM The new fougere ambery spicy intensity. Giorgio,"₦189,000",189000,perfume,men,of green mandarin and unfolds into a spicy and woody heart of nutmeg essence. A masculine sensuality emerges from the fr,https://folafragrance.com.ng/wp-content/uploads/2025/11/IMG_5855-291x291.jpeg,true,true,true,,Eau de Parfum
11910,ARMANI CODE EAU DE TOILETTE Giorgio Armani,Giorgio Armani,ARMANI CODE EAU DE TOILETTE Giorgio Armani This ambery-woody cologne for men,"₦170,000",170000,perfume,men,that vibrate with green mandarin from Italy. The heart is composed of lavandin that lends modern and magnetic facets to ,https://folafragrance.com.ng/wp-content/uploads/2025/11/IMG_5831-291x291.jpeg,true,false,true,,Eau de Toilette
6545,Afnan 9PM Rebel EDP 100ml,Afnan Perfumes,"Indulge in the captivating allure of Afnan 9PM Rebel edp 100ml, a fragrance","₦59,000",59000,perfume,unisex,"Top Notes: Mandarin, Pineapple and Granny Smith Middle Notes: Cedarwood, Oakmoss and Vanilla Base Notes: Caramel, Dry wo",https://folafragrance.com.ng/wp-content/uploads/2025/05/IMG_8726-291x291.webp,true,false,true,100ml,Eau de Parfum
6542,Afnan 9pm EDP 100ml,Afnan Perfumes,Afnan 9pm EDP 100ml A bold and provocative fragrance that exudes masculinity,"₦48,000",48000,perfume,unisex,"of bergamot and pear, which provide a crisp and invigorating introduction. As the scent develops, it reveals its heart n",https://folafragrance.com.ng/wp-content/uploads/2025/05/IMG_8725-291x291.webp,true,false,true,100ml,Eau de Parfum
6548,Afnan Supremacy Collector’s Edition 100ml,Afnan Perfumes,Afnan Supremacy Collector’s Edition 100ml is a captivating masculine fragrance,"₦90,000",90000,perfume,men,"Top Notes: Pineapple, Bergamot, Apple and White Floral Middle Notes: Orange Blossom, Birch and Amber Base Notes: Oak Mos",https://folafragrance.com.ng/wp-content/uploads/2025/05/IMG_8729-291x291.webp,true,false,true,100ml,
10441,Anua Glass Skin Essential Set,Anua Skincare Products,Anua Glass Skin Essential Set Meet the essentials for glass skin. We,"₦148,000",148000,perfume,unisex,Anua Glass Skin Essential Set Meet the essentials for glass skin. We hand-picked only the bestseller,https://folafragrance.com.ng/wp-content/uploads/2025/07/IMG_2612-291x291.png,true,false,true,,Gift Set
10435,Anua Heartleaf 77 Clear Pad,Anua Skincare Products,Anua Heartleaf 77 Clear Pad A toner pad designed to gently exfoliate dead skin,"₦42,000",42000,perfume,unisex,"Exfoliation, Hydration, Pore",https://folafragrance.com.ng/wp-content/uploads/2025/07/IMG_2611-291x291.jpeg,true,false,true,,
